genbank_accession,gisaid_epi_isl,Originating Lab,Submitting Lab,Author
,EPI_ISL_437976,"Institut für Virologie am Department für Hygiene, Mikrobiologie und Public Health","Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",Alexandra Popa et al A (https://www.biorxiv.org/content/10.1101/2020.07.15.204339v1)
,EPI_ISL_421654,E. Gulbja Laboratorija,Latvian Biomedical Research and Study Centre,Ivars Silamiķelis et al
LC521925,EPI_ISL_407084,"Department of Virology III, National Institute of Infectious Diseases","Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al B
,EPI_ISL_451958,,Jamil-ur-Rahman Center for Genome Research,Shakeel et al
,EPI_ISL_458081,RSUD Bangil Pasuruan,"Institute of Tropical Disease, Universitas Airlangga",Jezzy R Dewantari et al
MT027064,EPI_ISL_408010,California Department of Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Ying Tao et al A (https://dx.doi.org/10.1101/2020.03.09.20032896)
,EPI_ISL_413558,California Department of Public Health,"Chiu Laboratory, University of California, San Francisco",Xianding Deng et al A (https://dx.doi.org/10.1126/science.abb9263)
MT118835,EPI_ISL_412862,California Department of Public Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_418267,,Microbiology and Immunology department,Nguyen et al
,EPI_ISL_406973,Singapore General Hospital,National Public Health Laboratory,Mak et al (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
,EPI_ISL_434694,Bamrasnaradura hospital,"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand",Pilailuk et al A
,EPI_ISL_416907,National Public Health Laboratory,Malaysia Genome Institute,Mohd Noor Mat Isa et al
,EPI_ISL_430444,"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia","Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia",Suppiah.J et al
,EPI_ISL_455792,"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia",Malaysia Genome Institute,Mohd Noor Mat Isa et al
,EPI_ISL_455791,"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia",Malaysia Genome Institute,Mohd Noor Mat Isa et al
,EPI_ISL_434564,,,To et al
,EPI_ISL_429412,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al
,EPI_ISL_435416,"Virological Research Group, Szentágothai Research Centre","Bioinformatics Research Group, Szentágothai Research Centre",Péter Urbán et al
,EPI_ISL_414499,"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf","Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf",Ortwin Adams et al (https://dx.doi.org/10.1101/2020.04.25.20079517)
,EPI_ISL_414508,"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf","Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf",Ortwin Adams et al (https://dx.doi.org/10.1101/2020.04.25.20079517)
,EPI_ISL_414574,"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf","Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf",Ortwin Adams et al (https://dx.doi.org/10.1101/2020.04.25.20079517)
,EPI_ISL_414509,"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf","Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf",Ortwin Adams et al (https://dx.doi.org/10.1101/2020.04.25.20079517)
,EPI_ISL_426660,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al (https://dx.doi.org/10.1101/2020.05.12.20099929)
,EPI_ISL_414505,"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf","Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf",Ortwin Adams et al (https://dx.doi.org/10.1101/2020.04.25.20079517)
,EPI_ISL_419655,"Center for Virology, Medical University of Vienna","Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",Alexandra Popa et al A (https://www.biorxiv.org/content/10.1101/2020.07.15.204339v1)
,EPI_ISL_414504,"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf","Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf",Ortwin Adams et al (https://dx.doi.org/10.1101/2020.04.25.20079517)
,EPI_ISL_424874,NE Public Health Laboratory,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_424875,NE Public Health Laboratory,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_450409,,Microbiology,To et al
,EPI_ISL_408431,"Sorbonne Université, Inserm et Assistance Publique-Hôpitaux de Paris (Pitié Salpétrière)","National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Mélanie Albert et al B (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
,EPI_ISL_410532,"Dept. of Pathology, National Institute of Infectious Diseases","Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al A (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
,EPI_ISL_419554,California Department of Public Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Ying Tao et al B
,EPI_ISL_435581,Santa Clara County Public Health Department,"Chiu Laboratory, University of California, San Francisco",Xianding Deng et al B
,EPI_ISL_451339,West China Hospital of Sichuan University,State Key Laboratory of Biotherapy of Sichuan University,Baowen Du et al
MT044258,EPI_ISL_410044,California Department of Public Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Jing Zhang et al B (https://dx.doi.org/10.1101/2020.03.09.20032896)
,EPI_ISL_420890,,Takayuki Hishiki Kanagawa Prefectural Institute of Public Health,Hishiki et al A
,EPI_ISL_430439,"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia","Institute for Medical Research Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia",Suppiah.J et al
,EPI_ISL_458079,Mitra Keluarga Hospital Kenjeran,"Institute of Tropical Disease, Universitas Airlangga",Aldise M Nastri et al
,EPI_ISL_437189,Pusat Pertamina Hospital,"Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation",Edison Johar et al
,EPI_ISL_435142,Mohammed Bin Rashid University of Medicine and Health Sciences,Al Jalila Genomics Center,Ahmad Abou Tayoun et al (https://dx.doi.org/10.1101/2020.05.06.080606)
,EPI_ISL_435282,RS Pondok Indah Hospital – Pondok Indah,"Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation",Edison Johar et al
,EPI_ISL_411902,"Virology Unit, Institut Pasteur du Cambodge.","Virology Unit, Institut Pasteur du Cambodge (Sequencing done by: Jessica E Manning/Jennifer A Bohl at Malaria and Vector Research Research Laboratory, National Institute of Allergy and Infectious Diseases and Vida Ahyong from Chan-Zuckerberg Biohub)",Erik A Karlsson et al (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
,EPI_ISL_444828,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al
,EPI_ISL_454788,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),Adam Meijer et al
,EPI_ISL_454791,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),Adam Meijer et al
,EPI_ISL_413581,RIVM,Erasmus Medical Center,David Nieuwenhuijse et al A (https://dx.doi.org/10.1038/s41591-020-0997-y)
,EPI_ISL_413586,Foundation Elisabeth-Tweesteden Ziekenhuis,Erasmus Medical Center,David Nieuwenhuijse et al A (https://dx.doi.org/10.1038/s41591-020-0997-y)
,EPI_ISL_417482,"Institute of Microbiology, Universidad San Francisco de Quito","Institute of Microbiology, Universidad San Francisco de Quito",Sully Márquez et al
,EPI_ISL_456158,Southern Community Labs Dunedin,Institute of Environmental Science and Research (ESR),Matt Storey et al A
,EPI_ISL_454756,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),Adam Meijer et al
,EPI_ISL_452103,"Max von Pettenkofer Institute, Virology, National Reference Center for Retroviruses, LMU München","Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich",Max Muenchhoff et al
,EPI_ISL_454752,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),Adam Meijer et al
,EPI_ISL_426307,"Wadsworth Center, New York State Department.of Health","Wadsworth Center, New York State Department.of Health",Kirsten St. George et al
,EPI_ISL_425058,Lab voor klinische biologie,Onderzoeksgroep Virologie,Laurens Lambrechts et al A (https://dx.doi.org/10.1101/2020.05.05.078758)
,EPI_ISL_425057,Lab voor klinische biologie,Onderzoeksgroep Virologie,Laurens Lambrechts et al A (https://dx.doi.org/10.1101/2020.05.05.078758)
,EPI_ISL_425051,Lab voor klinische biologie,Onderzoeksgroep Virologie,Nick Vereecke et al A (https://dx.doi.org/10.1101/2020.05.05.078758)
,EPI_ISL_417880,"Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava; Public Health Authority of the Slovak Republic, Bratislava","Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava; Comenius University Science Park, Bratislava",Monika Slávikova et al
,EPI_ISL_454785,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),Adam Meijer et al
,EPI_ISL_426427,"MN PHL Division, Minnesota Department of Health","Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_428883,"State Research Center of Virology and Biotechnology VECTOR, Department of Collection of Microorganisms","State Research Center of Virology and Biotechnology VECTOR, Department of Collection of Microorganisms",Oleg V. Pyankov et al
,EPI_ISL_429295,"Department of Clinical Microbiology, Copenhagen University Hospital, Hvidovre, Kettegaard Alle 30, 2650 Hvidovre.","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al
,EPI_ISL_454945,Wuhan Chain Medical Labs (CMLabs),State Key Laboratory of Biotherapy of Sichuan University,Baowen Du et al
,EPI_ISL_454925,Wuhan Chain Medical Labs (CMLabs),State Key Laboratory of Biotherapy of Sichuan University,Baowen Du et al
,EPI_ISL_450297,National Institute for Communicable Diseases of the National Health Laboratory Service,National Institute for Communicable Diseases of the National Health Laboratory Service,Allam M et al A
,EPI_ISL_456176,LabPLUS,Institute of Environmental Science and Research (ESR),Matt Storey et al A
,EPI_ISL_456166,Wellington SCL,Institute of Environmental Science and Research (ESR),Matt Storey et al A
,EPI_ISL_451361,West China Hospital of Sichuan University,State Key Laboratory of Biotherapy of Sichuan University,Baowen Du et al
,EPI_ISL_410531,"Dept. of Pathology, National Institute of Infectious Diseases","Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al B
MT020781,EPI_ISL_407079,Lapland Central Hospital,"Department of Virology, University of Helsinki and Helsinki University Hospital, Helsinki, Finland",Teemu Smura et al A
,EPI_ISL_451363,West China Hospital of Sichuan University,State Key Laboratory of Biotherapy of Sichuan University,Baowen Du et al
,EPI_ISL_426164,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",Jeong-Min Kim et al A
,EPI_ISL_414043,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England","Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)
,EPI_ISL_426166,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",Jeong-Min Kim et al A
,EPI_ISL_414040,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England","Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)
,EPI_ISL_414042,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England","Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)
,EPI_ISL_410486,CNR Virus des Infections Respiratoires - France SUD,CNR Virus des Infections Respiratoires - France SUD,Bal et al (https://dx.doi.org/10.1016/j.cmi.2020.03.020)
,EPI_ISL_414044,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England","Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)
,EPI_ISL_414041,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England","Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)
,EPI_ISL_444560,Northwestern Memorial Hospital,Ozer Lab,Ramon Lorenzo-Redondo et al (https://dx.doi.org/10.1101/2020.05.19.20107144)
,EPI_ISL_435585,Santa Clara County Public Health Department,"Chiu Laboratory, University of California, San Francisco",Xianding Deng et al B
,EPI_ISL_454922,Wuhan Chain Medical Labs (CMLabs),State Key Laboratory of Biotherapy of Sichuan University,Baowen Du et al
,EPI_ISL_418379,Public Health Ontario Laboratories,Public Health Ontario Laboratories,Alireza Eshaghi et al
,EPI_ISL_437187,Siloam Hospitals,"Institute of Tropical Disease, Universitas Airlangga",Kazufumi Shimizu et al
,EPI_ISL_452130,CO Department of Public Health and Environment,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Jing Zhang et al A
,EPI_ISL_435133,Mohammed Bin Rashid University of Medicine and Health Sciences,Al Jalila Genomics Center,Ahmad Abou Tayoun et al (https://dx.doi.org/10.1101/2020.05.06.080606)
,EPI_ISL_430297,National Institute for Communicable Diseases of the National Health Laboratory Service,National Institute for Communicable Diseases of the National Health Laboratory Service,Allam M et al A
,EPI_ISL_435635,Santa Clara County Public Health Department,"Chiu Laboratory, University of California, San Francisco",Xianding Deng et al B
,EPI_ISL_426429,NV State Public Health Laboratory,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_454970,Wuhan Chain Medical Labs (CMLabs),State Key Laboratory of Biotherapy of Sichuan University,Baowen Du et al
,EPI_ISL_427419,Ministry of Public Health (MoPH),Biomedical Research Center (BRC),Abdullatif Al-Khal et al
,EPI_ISL_417335,"Institut des Agents Infectieux (IAI), Hospices Civils de Lyon",CNR Virus des Infections Respiratoires - France SUD,Antonin Bal et al
,EPI_ISL_430440,"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia","Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia",Suppiah.J et al
,EPI_ISL_430441,"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia","Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia",Suppiah.J et al
,EPI_ISL_417432,UCD National Virus Reference Laboratory,Public Health Wales Microbiology Cardiff,Catherine Dempsey et al
,EPI_ISL_437882,"Laboratory of Microbiology, Medical School, National and Kapodistrian University of Athens","Laboratory of Biology, Department of Medicine, Democritus University of Thrace",Kassela K. et al (https://dx.doi.org/10.1101/2020.06.03.20121236)
,EPI_ISL_435127,Mohammed Bin Rashid University of Medicine and Health Sciences,Al Jalila Genomics Center,Ahmad Abou Tayoun et al (https://dx.doi.org/10.1101/2020.05.06.080606)
,EPI_ISL_447447,"Clinical Microbiology Laboratory, Sheba Medical Center",Stern Lab,Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
,EPI_ISL_430442,"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia","Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia",Suppiah.J et al
,EPI_ISL_437883,"Laboratory of Microbiology, Medical School, National and Kapodistrian University of Athens","Laboratory of Biology, Department of Medicine, Democritus University of Thrace",Kassela K. et al (https://dx.doi.org/10.1101/2020.06.03.20121236)
,EPI_ISL_444275,Laboratory Medicine,"Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan",Kuo-Chien Tsao et al B
,EPI_ISL_437191,RS Pondok Indah Hospital – Pondok Indah,"Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation",Edison Johar et al
,EPI_ISL_454959,Wuhan Chain Medical Labs (CMLabs),State Key Laboratory of Biotherapy of Sichuan University,Baowen Du et al
,EPI_ISL_427415,Ministry of Public Health (MoPH),Biomedical Research Center (BRC),Abdullatif Al-Khal et al
,EPI_ISL_427404,Ministry of Public Health (MoPH),Biomedical Research Center (BRC),Abdullatif Al-Khal et al
,EPI_ISL_427412,Ministry of Public Health (MoPH),Biomedical Research Center (BRC),Abdullatif Al-Khal et al
,EPI_ISL_419313,Molecular Biology and Biotechnology Lab II,Molecular Biology and Biotechnology Lab II,Tayyaba Zainab et al
,EPI_ISL_416829,National Public Health Laboratory,Malaysia Genome Institute,Mohd Noor Mat Isa et al
,EPI_ISL_430443,"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia","Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia",Suppiah.J et al
,EPI_ISL_416884,National Public Health Laboratory,Malaysia Genome Institute,Mohd Noor Mat Isa et al
,EPI_ISL_407987,Singapore General Hospital,"Programme in Emerging Infectious Diseases, Duke-NUS Medical School",Danielle E Anderson et al A (https://dx.doi.org/doi/10.1101/2020.03.11.987222)
,EPI_ISL_416866,National Public Health Laboratory,Malaysia Genome Institute,Mohd Noor Mat Isa et al
,EPI_ISL_414483,,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_416601,Japanese Quarantine Stations,"Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al C (https://dx.doi.org/10.1101/2020.03.23.20041970)
,EPI_ISL_408430,"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris","National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Mélanie Albert et al A (https://dx.doi.org/10.1101/2020.04.24.059576)
,EPI_ISL_411218,"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris","Laboratoire Virpath, CIRI U111, UCBL1, INSERM, CNRS, ENS Lyon",Olivier Terrier et al (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
,EPI_ISL_413612,,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Ying Tao et al B
,EPI_ISL_415539,Utah Public Health Laboratory,Utah Public Health Laboratory,Erin Young et al
,EPI_ISL_416568,Japanese Quarantine Stations,"Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al C (https://dx.doi.org/10.1101/2020.03.23.20041970)
,EPI_ISL_412969,,"Takayuki Hishiki Kanagawa Prefectural Institute of Public Health, Department of Microbiology",Hishiki et al B (https://dx.doi.org/10.1002/jmv.25773)
,EPI_ISL_416603,Japanese Quarantine Stations,"Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al C (https://dx.doi.org/10.1101/2020.03.23.20041970)
,EPI_ISL_416616,Japanese Quarantine Stations,"Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al C (https://dx.doi.org/10.1101/2020.03.23.20041970)
,EPI_ISL_416581,Japanese Quarantine Stations,"Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al C (https://dx.doi.org/10.1101/2020.03.23.20041970)
,EPI_ISL_420796,Texas DSHS Lab Services,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_418994,"National Public Health Laboratory, National Centre for Infectious Diseases","National Public Health Laboratory, National Centre for Infectious Diseases",Mak TM et al
,EPI_ISL_416622,Japanese Quarantine Stations,"Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al C (https://dx.doi.org/10.1101/2020.03.23.20041970)
,EPI_ISL_413613,,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Ying Tao et al B
,EPI_ISL_413623,,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Clinton R. Paden et al B
,EPI_ISL_419211,Central Virology Laboratory,Israel Institute for Biological Research,Inbar Cohen-Gihon et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
,EPI_ISL_435283,RS Pondok Indah Hospital – Pondok Indah,"Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation",Edison Johar et al
,EPI_ISL_413608,,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Anna Uehara et al B
,EPI_ISL_413620,,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Clinton R. Paden et al B
,EPI_ISL_421573,Molecular Diagnostic Services,"KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al (https://dx.doi.org/10.1101/2020.05.29.20116376)
,EPI_ISL_434556,"National Institutes of Health, University of the Philippines Manila",Philippine Genome Center,Carlo M. Lapid et al
,EPI_ISL_434554,"National Institutes of Health, University of the Philippines Manila",Philippine Genome Center,Carlo M. Lapid et al
,EPI_ISL_444998,Naval Health Research Center,Naval Medical Research Center Biological Defense Research Directorate,Logan Voegtly et al
,EPI_ISL_434555,"National Institutes of Health, University of the Philippines Manila",Philippine Genome Center,Carlo M. Lapid et al
,EPI_ISL_455917,Ramathibodi Hospital,COVID-19 Network Investigations (CONI) Alliance,Elizabeth Batty et al
,EPI_ISL_426379,"The National Laboratory of Health, Environment and Food, Maribor, Slovenia","The National Laboratory of Health, Environment and Food, Maribor, Slovenia",Mahnic A. et al
,EPI_ISL_450794,Jamaica Ministry of Health and Wellness,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_417918,"Department of Medical Microbiology, University Malaya Medical Centre","Department of Medical Microbiology, Faculty of Medicine, University of Malaya",Yoong Min CHONG et al (https://dx.doi.org/10.1128/MRA.00383-20)
,EPI_ISL_436416,National Centre for Disease control (NCDC),NCDC/CSIR-IGIB,Pramod Kumar# et al (https://dx.doi.org/10.1101/2020.06.04.128751)
,EPI_ISL_417917,"Department of Medical Microbiology, University Malaya Medical Centre",Department of Medical Microbiology,Yoong Min CHONG et al (https://dx.doi.org/10.1128/MRA.00383-20)
,EPI_ISL_435676,National Virology Reference Laboratory,"National Public Health Laboratory, National Centre for Infectious Diseases",Mak Tze Minn et al
,EPI_ISL_435677,National Virology Reference Laboratory,"National Public Health Laboratory, National Centre for Infectious Diseases",Mak Tze Minn et al
,EPI_ISL_443187,National Virology Reference Laboratory,"National Public Health Laboratory, National Centre for Infectious Diseases",Mak Tze Minn et al
,EPI_ISL_435674,National Virology Reference Laboratory,"National Public Health Laboratory, National Centre for Infectious Diseases",Mak Tze Minn et al
,EPI_ISL_435675,National Virology Reference Laboratory,"National Public Health Laboratory, National Centre for Infectious Diseases",Mak Tze Minn et al
,EPI_ISL_457805,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_445000,Naval Health Research Center,Naval Medical Research Center Biological Defense Research Directorate,Logan Voegtly et al
,EPI_ISL_455919,Ramathibodi Hospital,COVID-19 Network Investigations (CONI) Alliance,Elizabeth Batty et al
,EPI_ISL_455921,Ramathibodi Hospital,COVID-19 Network Investigations (CONI) Alliance,Elizabeth Batty et al
,EPI_ISL_428856,MRCG at LSHTM Genomics Lab,MRCG at LSHTM Genomics lab,Sesay et al et al (https://dx.doi.org/10.1101/2020.04.30.070771)
,EPI_ISL_444999,Naval Health Research Center,Naval Medical Research Center Biological Defense Research Directorate,Logan Voegtly et al
,EPI_ISL_434558,"National Institutes of Health, University of the Philippines Manila",Philippine Genome Center,Carlo M. Lapid et al
,EPI_ISL_457815,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_417444,,Department of Healthcare Biotechnology,Javed et al (http://biorxiv.org/lookup/doi/10.1101/2020.04.01.019463)
,EPI_ISL_454986,Wuhan Chain Medical Labs (CMLabs),State Key Laboratory of Biotherapy of Sichuan University,Baowen Du et al
,EPI_ISL_454987,Wuhan Chain Medical Labs (CMLabs),State Key Laboratory of Biotherapy of Sichuan University,Baowen Du et al
,EPI_ISL_428670,Centre for Dengue Research,Centre for Dengue Research,Chandima Jeewandara et al
,EPI_ISL_435126,Mohammed Bin Rashid University of Medicine and Health Sciences,Al Jalila Genomics Center,Ahmad Abou Tayoun et al (https://dx.doi.org/10.1101/2020.05.06.080606)
,EPI_ISL_420142,"Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.","Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.",Marine Murtskhvaladze et al
,EPI_ISL_424349,,Human Genetic Research Center,Zeinali et al
,EPI_ISL_435121,Mohammed Bin Rashid University of Medicine and Health Sciences,Al Jalila Genomics Center,Ahmad Abou Tayoun et al (https://dx.doi.org/10.1101/2020.05.06.080606)
,EPI_ISL_414414,Pathology Queensland,Public Health Virology Laboratory,Bixing Huang et al
,EPI_ISL_421668,"National Influenza Center, Indian Council of Medical Research - National Institute of Virology","Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex",Pragya D. Yadav et al (http://www.ijmr.org.in/article.asp?issn=0971-5916;year=2020;volume=151;issue=2;spage=255;epage=260;aulast=Potdar)
,EPI_ISL_415580,BCCDC Public Health Laboratory,BCCDC Public Health Laboratory,Harrigan et al A
,EPI_ISL_415578,BCCDC Public Health Laboratory,BCCDC Public Health Laboratory,Harrigan et al A
,EPI_ISL_435045,Laboratory of Applied Genetics,"RSE ""National Center for Biotechnology""",Shevtsov et al
,EPI_ISL_450512,Rafik Hariri University Hospital,Rafik Hariri University Hospital,Rita Feghali et al
,EPI_ISL_457706,Oman-NIC,Oman-NIC,Samira Al-Maruqi et al
